agency,mode,n_ods,country,operator,status,source_ids,source_titles,source_urls,notes,audit_files
Great Western Railway,Rail,29,UK,FirstGroup,access_required,NW_GB_RSP|NW_GB_SPEC,"RDG industry fares, routeing and timetable data|RDG Fares and Associated Data Feed Specification RSPS5045",https://www.raildeliverygroup.com/our-services/essential-services/rail-data.html|https://www.raildeliverygroup.com/files/Publications/services/rsp/RSPS504502-00FaresandAssociatedDataFeedInterfaceSpecification.pdf,"Use the shared GB fares, restrictions and routeing delivery rather than an operator-page scraper.",northwest_fallback
Aéroport Nantes Atlantique,Bus,28,"BE,CH,CZ,DE,DK",Nantes Atlantique Airport transport,identity_unresolved,SW_NANTES,Nantes airport passenger shuttle fare — candidate scope,https://www.nantes.aeroport.fr/fr/acces-et-transports/navette-aeroport,"EUR 10 local passenger shuttle fare found, but this agency's foreign country entries are inconsistent with that scope. Verify source agency_url/routes; do not apply the shuttle fare to all credited OD entries.",southwest.json
NMBS/SNCB,Rail,27,"AT,BE,DE,FR,LU",SNCB,published_partial,NW_SNCB_PRICES,SNCB Tarifs 01.02.2026 with second supplement 01.07.2026,https://www.belgiantrain.be/-/media/files/pdf/productfiches/tarifs/version-actuelle/fr/tarifs-version-actuelle.ashx?v=866bc1f2b86a4143814e83fc0c4dba50,The 2026 price-by-tariff-km tables are public; authoritative OD tariff kilometres are still required.,northwest_fallback
FlixBus-de,Bus,26,"AT,BE,BG,CH,CZ",FlixBus,access_required,NW_FLIXBUS|NW_FLIX_PARTNER,FlixBus general carriage conditions|FlixBus reseller access,https://global.flixbus.com/terms-and-conditions-of-carriage|https://global.flixbus.com/company/partners/travel-agencies-and-ticket-outlets,Quota-based fare brackets; no public complete monetary matrix verified. Partner access is the official lead.,northwest_fallback
CFR Călători,Rail,26,RO,CFR,published_partial,EAST_CFR_INTERREGIO_2025,CFR Interregio domestic transport fares by kilometre band,https://www.cfrcalatori.ro/wp-content/uploads/2025/12/Tarife-de-transport-trenuri-Interregio-14.12.2025-1.pdf,Actual official price table indexed; retrieval timeout and complete category/reservation/distance acquisition remain.,east.json
Snälltåget,Rail,23,"AT,DE,DK,NO,SE",Snälltåget,retail_only,NW_SNALLTAGET,Snälltåget fare categories and ticket rules,https://www.snalltaget.se/en/terms-and-conditions,Departure-specific seat/berth/compartment price; public rules do not provide a full monetary OD matrix.,northwest_fallback
Nahreisezug,Bus,21,"DE,PL",Unresolved German bus operator,identity_unresolved,,,,"Generic feed label: recover original agency ID, URL and trip/route evidence before tariff selection.",dach.json
East Midlands Railway,Rail,21,UK,EMR,access_required,NW_GB_RSP|NW_GB_SPEC,"RDG industry fares, routeing and timetable data|RDG Fares and Associated Data Feed Specification RSPS5045",https://www.raildeliverygroup.com/our-services/essential-services/rail-data.html|https://www.raildeliverygroup.com/files/Publications/services/rsp/RSPS504502-00FaresandAssociatedDataFeedInterfaceSpecification.pdf,"Use the shared GB fares, restrictions and routeing delivery rather than an operator-page scraper.",northwest_fallback
NS Int,Rail,20,"AT,BE,CH,DE,FR",NS,published_partial,NW_NS_INT,NS International Eurocity Direct Flex/Saver route price table,https://www.nsinternational.com/en/trains/eurocity-direct,NS International is a distributor/agency label; apply the actual international product and operating carrier regime.,northwest_fallback
DB Regio AG Bayern,Rail,16,"AT,DE",DB,published_partial,DACH_DTV_PRICES|DACH_DTV_DISTANCES|DACH_DTV_RULES|DACH_MVV,"Deutschlandtarif Teil J: Preisliste|Deutschlandtarif Entfernungswerk: tariff points, distances, routes, equivalences|Deutschlandtarif Teil A: scope, precedence and participating EVUs|MVV current ticket and price overview",https://www.deutschlandtarifverbund.de/wp-content/uploads/2025/12/20251118_J_Preisliste_D-Tarif_Dez.2025.pdf|https://www.bahn.de/agb|https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf|https://www.mvv-muenchen.de/tickets-abos-preise/rund-um-tickets/ticket-und-preisuebersicht,"DTV participation/corpus provides a starting point; select land/local tariff by route, product and travel date. No OD coverage test yet.",dach.json
London North Eastern Railway,Rail,16,UK,DFTO,access_required,NW_GB_RSP|NW_GB_SPEC,"RDG industry fares, routeing and timetable data|RDG Fares and Associated Data Feed Specification RSPS5045",https://www.raildeliverygroup.com/our-services/essential-services/rail-data.html|https://www.raildeliverygroup.com/files/Publications/services/rsp/RSPS504502-00FaresandAssociatedDataFeedInterfaceSpecification.pdf,"Use the shared GB fares, restrictions and routeing delivery rather than an operator-page scraper.",northwest_fallback
European Sleeper,Rail,15,"BE,CZ,DE,FR,IT",European Sleeper,published_partial,NW_EU_SLEEPER,European Sleeper pass and accommodation price ranges,https://www.europeansleeper.eu/passes,"Published accommodation ranges are usable bounds, not a complete OD/departure price.",northwest_fallback
"Železničná spoločnosť Slovensko, a.s.",Rail,15,"AT,CH,CZ,DE,HR",ZSSK,published_partial,EAST_ZSSK_PP_2025|EAST_PL_SCIC_NRT_2025,"ZSSK Prepravný poriadok including section D fare tables — version lead|SCIC-NRT 2025–2026, Polish edition prepared by PKP Intercity",https://www.zssk.sk/wp-content/uploads/2025/04/PP-ZSSK-od-2025-05-01-1.pdf|https://polregio.pl/media/28130/scic-nrt-od-14122025-r.pdf,"Monetary domestic publication identified, latest 2026 edition not verified; direct site 502. International country metadata requires itinerary/product audit.",east.json
PolRegio,Rail,14,"DE,PL",Polregio,published_partial,EAST_POLREGIO_TPR_2026|EAST_POLREGIO_MALOPOLSKA_2026|EAST_PL_SCIC_NRT_2025,"POLREGIO current TPR and regulation download index|Taryfa Małopolska: one-way distance-band price table|SCIC-NRT 2025–2026, Polish edition prepared by PKP Intercity",https://polregio.pl/pl/dla-podroznych/pomoc/przepisy-taryfy-ulgi/|https://polregio.pl/media/29142/taryfa-ma%C5%82opolska-za%C5%82-1.pdf|https://polregio.pl/media/28130/scic-nrt-od-14122025-r.pdf,General tariff acquisition plus region/border applicability required; one current regional monetary table verified.,east.json
Hessische Landesbahn GmbH,Rail,11,DE,HLB,published_partial,DACH_DTV_PRICES|DACH_DTV_DISTANCES|DACH_DTV_RULES|DACH_RMV,"Deutschlandtarif Teil J: Preisliste|Deutschlandtarif Entfernungswerk: tariff points, distances, routes, equivalences|Deutschlandtarif Teil A: scope, precedence and participating EVUs|RMV fare rules, regional matrices and 2026 price list",https://www.deutschlandtarifverbund.de/wp-content/uploads/2025/12/20251118_J_Preisliste_D-Tarif_Dez.2025.pdf|https://www.bahn.de/agb|https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf|https://www.rmv.de/c/de/tickets/regeln/befoerderungsbedingungen-tarifbestimmungen/tarifbestimmungen,"DTV participation/corpus provides a starting point; select land/local tariff by route, product and travel date. No OD coverage test yet.",dach.json
DB Regio AG NRW,Rail,11,"BE,DE,NL",DB,published_partial,DACH_DTV_PRICES|DACH_DTV_DISTANCES|DACH_DTV_RULES|DACH_NRW|DACH_WESTFALEN|DACH_VRR,"Deutschlandtarif Teil J: Preisliste|Deutschlandtarif Entfernungswerk: tariff points, distances, routes, equivalences|Deutschlandtarif Teil A: scope, precedence and participating EVUs|NRW-Tarif 2026 scope, products and eezy rules|WestfalenTarif ticket prices and tariff structure|VRR 2026 price table",https://www.deutschlandtarifverbund.de/wp-content/uploads/2025/12/20251118_J_Preisliste_D-Tarif_Dez.2025.pdf|https://www.bahn.de/agb|https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf|https://infoportal.mobil.nrw/nrw-tarif/nrw-tarif-im-ueberblick.html|https://www.westfalentarif.de/tickets-abonnements/ticketpreise|https://www.vrr.de/fileadmin/user_upload/pdf/service/downloads/Weitere_Broschueren_und_Tarifinformationen/VRR_Preise_2026.pdf,"DTV participation/corpus provides a starting point; select land/local tariff by route, product and travel date. No OD coverage test yet.",dach.json
TransPennine Express,Rail,11,UK,DFTO,access_required,NW_GB_RSP|NW_GB_SPEC,"RDG industry fares, routeing and timetable data|RDG Fares and Associated Data Feed Specification RSPS5045",https://www.raildeliverygroup.com/our-services/essential-services/rail-data.html|https://www.raildeliverygroup.com/files/Publications/services/rsp/RSPS504502-00FaresandAssociatedDataFeedInterfaceSpecification.pdf,"Use the shared GB fares, restrictions and routeing delivery rather than an operator-page scraper.",northwest_fallback
MÁV Személyszállítási Zrt. - Helyközi busz,Bus,11,HU,MÁV,ready_to_acquire,EAST_MAV_DOMESTIC_2026,"MÁV Helyközi Menetdíjtáblázat, domestic rail/bus/HÉV",https://www.mavcsoport.hu/sites/default/files/upload/page/helykozi_menetdijtablazat_2._kiadas_ervenyes_2026_06.12-tol.pdf,"Published intercity bus base table and bus-specific reservation supplement found. Need route fare distance, actual service and eligibility.",east.json
SJ,Rail,11,"DE,DK,NO,SE",SJ,access_required,NW_SWEDEN_ACCESS,Samtrafiken sales data and Access OSDM pricing,https://www.trafiklab.se/news/2025/2025-01-01-samtrafiken-sales-data-available/,Swedish sales NeTEx is timetable-only; integrated prices require Samtrafiken Access unless a local table applies.,northwest_fallback
DB AG,Rail,9,"CH,DE",DB,identity_unresolved,DACH_DB_AGB|DACH_DTV_RULES,"DB national/international conditions and supplementary price list|Deutschlandtarif Teil A: scope, precedence and participating EVUs",https://www.bahn.de/agb|https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf,Generic DB label leaves long-distance versus regional service unresolved; inspect train category and route.,dach.json
MÁV,Rail,9,HU,MÁV,ready_to_acquire,EAST_MAV_DOMESTIC_2026,"MÁV Helyközi Menetdíjtáblázat, domestic rail/bus/HÉV",https://www.mavcsoport.hu/sites/default/files/upload/page/helykozi_menetdijtablazat_2._kiadas_ervenyes_2026_06.12-tol.pdf,"Published domestic monetary table; train tariff distances, class and reservation/supplement join still required.",east.json
SÜWEX,Rail,8,"DE,LU",DB,published_partial,DACH_DTV_PRICES|DACH_DTV_DISTANCES|DACH_DTV_RULES|DACH_VRN,"Deutschlandtarif Teil J: Preisliste|Deutschlandtarif Entfernungswerk: tariff points, distances, routes, equivalences|Deutschlandtarif Teil A: scope, precedence and participating EVUs|VRN July 2026 price table and zone-map catalogue",https://www.deutschlandtarifverbund.de/wp-content/uploads/2025/12/20251118_J_Preisliste_D-Tarif_Dez.2025.pdf|https://www.bahn.de/agb|https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf|https://www.vrn.de/mam/tickets/tarif/dokumente/2026/vrn_fahrpreistabelle_7_2026.pdf,"DTV participation/corpus provides a starting point; select land/local tariff by route, product and travel date. No OD coverage test yet.",dach.json
Vr,Rail,8,FI,VR,published_partial,NW_VR_LONG|NW_VR_COMMUTER,VR long-distance single tickets|VR fixed-price commuter tickets,https://www.vr.fi/en/train-tickets/single-ticket-long-distance|https://www.vr.fi/en/train-tickets/single-ticket-commuter-traffic,Long-distance tickets are dynamic; commuter routes are fixed-price but a complete public matrix was not found.,northwest_fallback
Société Nationale des Chemins de fer Français,Rail,8,"CH,FR",SNCF,published_partial,SW_SNCF_TGV|SW_SNCF_IC|SW_SNCF_BASE|SW_ALEOP_ECO,"Tarifs TGV INOUI et OUIGO — official OD fare bounds|Tarifs Intercités — daytime and overnight OD fare bounds|SNCF Tarifs voyageurs, volume 6 — base fare coefficients and product rules|Aléop Eco — TER and specified express coaches",https://ressources.data.sncf.com/explore/dataset/tarifs-tgv-inoui-ouigo/export/|https://ressources.data.sncf.com/explore/dataset/tarifs-intercites/table/|https://www.tgvinoui.sncf/file/tarifs-voyageurs|https://aleop.paysdelaloire.fr/tarifs/billet-aleop-eco,"Operator alias may cover TGV, Intercités, TER and international services. National published bounds and limited base rules exist; classify services and join UIC stations. Alias alone is not tariff identity.",southwest.json
DB Fernverkehr (Codesharing),Rail,7,"AT,CH,CZ,DE,NL",DB,published_partial,DACH_DB_AGB|DACH_DB_FLEX,DB national/international conditions and supplementary price list|DB Flexpreis product and price determinants,https://www.bahn.de/agb|https://www.bahn.de/angebot/sparpreis-flexpreis/flexpreis,Codeshare marketing label requires operating service and ticket-product identification before pricing.,dach.json
Hessische Landesbahn GmbH,Bus,7,DE,HLB,published_partial,DACH_RMV,"RMV fare rules, regional matrices and 2026 price list",https://www.rmv.de/c/de/tickets/regeln/befoerderungsbedingungen-tarifbestimmungen/tarifbestimmungen,RMV is a route-dependent lead; NVV/other local or replacement-bus rules may apply.,dach.json
DB Regio AG Südost,Rail,7,DE,DB,published_partial,DACH_DTV_PRICES|DACH_DTV_DISTANCES|DACH_DTV_RULES|DACH_VMS|DACH_VVO,"Deutschlandtarif Teil J: Preisliste|Deutschlandtarif Entfernungswerk: tariff points, distances, routes, equivalences|Deutschlandtarif Teil A: scope, precedence and participating EVUs|VMS fare overview and current tariff documents|VVO current fare table",https://www.deutschlandtarifverbund.de/wp-content/uploads/2025/12/20251118_J_Preisliste_D-Tarif_Dez.2025.pdf|https://www.bahn.de/agb|https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf|https://www.vms.de/tarif-und-tickets/tickets/alle-tickets/|https://www.vvo-online.de/doc/VVO-Kleingedrucktes-Anlage-7-Preistabelle-Stand-01-04-2026.pdf,"DTV participation/corpus provides a starting point; select land/local tariff by route, product and travel date. No OD coverage test yet.",dach.json
ÖBB,Rail,6,"AT,BE,CH,CZ,DE",ÖBB,published_partial,DACH_OBB_OD|DACH_OBB_Y_SAMPLE|DACH_OBB_RULES|DACH_OBB_NIGHT,"ÖBB published relation-price tables|ÖBB OD table, origins Y: verified sample shard|Handbuch für Reisen mit den ÖBB in Österreich|ÖBB night trains in Germany, fare ranges",https://www.oebb.at/static/tarife/de/relationspreise/index.html|https://static.web.oebb.at/relationspreise/14122025/y.pdf|https://www.oebb.at/static/tarife/de/handbuch_fuer_reisen_mit_den_oebb_in_oesterreich/index.html|https://www.oebb.at/static/tarife/de/relationspreise/Resources/pdf/3203138955.pdf,"Domestic standard-fare source ready for acquisition. International through fares, local Verbund fares and inventory products need separate resolution.",dach.json
Eurostar,Rail,6,"BE,DE,FR,NL,UK",Eurostar,ready_to_acquire,NW_EUROSTAR,"Eurostar official public, group, youth/senior and domestic fare grids",https://eurostarforagents.com/offer/public-fares/fare-range/fares-grids/,Official route/class/fare-code ladders are public; a dated departure still needs quota availability.,northwest_fallback
Bulgarian State Railways,Rail,6,BG,BDZ,ready_to_acquire,EAST_BDZ_PRICES_CURRENT|EAST_BDZ_RULES_2026,BDZ passenger ticket-price tables in EUR|BDZ domestic passenger tariff rules,https://p.bdz.bg/www/t/a/tarifno-izvestie-samo-eur-ok-5296.pdf|https://p.bdz.bg/www/t/a/tarifa-s-kor-km-04052026-4916.pdf,"Current public passenger price tables and rules found; date confirmation, tariff distances and calendar-train selection remain.",east.json
DB Regio Mitte,Bus,6,DE,DB,published_partial,DACH_DTV_PRICES|DACH_DTV_DISTANCES|DACH_DTV_RULES,"Deutschlandtarif Teil J: Preisliste|Deutschlandtarif Entfernungswerk: tariff points, distances, routes, equivalences|Deutschlandtarif Teil A: scope, precedence and participating EVUs",https://www.deutschlandtarifverbund.de/wp-content/uploads/2025/12/20251118_J_Preisliste_D-Tarif_Dez.2025.pdf|https://www.bahn.de/agb|https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf,Tariff links are conditional leads: identify ordinary bus versus rail replacement and actual local jurisdiction before pricing.,dach.json
Nachtzug,Rail,6,"AT,DE",Unresolved night-train agency,identity_unresolved,DACH_OBB_NIGHT,"ÖBB night trains in Germany, fare ranges",https://www.oebb.at/static/tarife/de/relationspreise/Resources/pdf/3203138955.pdf,"Nachtzug describes service type, not a verified operator. ÖBB ranges are a lead only.",dach.json
Greater Anglia,Rail,6,UK,DFTO,access_required,NW_GB_RSP|NW_GB_SPEC,"RDG industry fares, routeing and timetable data|RDG Fares and Associated Data Feed Specification RSPS5045",https://www.raildeliverygroup.com/our-services/essential-services/rail-data.html|https://www.raildeliverygroup.com/files/Publications/services/rsp/RSPS504502-00FaresandAssociatedDataFeedInterfaceSpecification.pdf,"Use the shared GB fares, restrictions and routeing delivery rather than an operator-page scraper.",northwest_fallback
Transport for Wales,Rail,6,UK,Transport for Wales,access_required,NW_GB_RSP|NW_GB_SPEC,"RDG industry fares, routeing and timetable data|RDG Fares and Associated Data Feed Specification RSPS5045",https://www.raildeliverygroup.com/our-services/essential-services/rail-data.html|https://www.raildeliverygroup.com/files/Publications/services/rsp/RSPS504502-00FaresandAssociatedDataFeedInterfaceSpecification.pdf,"Use the shared GB fares, restrictions and routeing delivery rather than an operator-page scraper.",northwest_fallback
Comboios de Portugal,Rail,6,PT,CP,ready_to_acquire,SW_CP_CATALOGUE|SW_CP_AP|SW_CP_IC,CP downloadable train price tables — discovery index|CP Alfa Pendular Lisboa–Porto–Braga 2026 price table|CP Intercidades Lisboa–Porto–Guimarães–Braga–Valença 2026 prices,https://www.cp.pt/info/w/trains-prices-pdf|https://www.cp.pt/info/documents/d/cp/precos-alfa-pendular-lisboa-porto-braga|https://www.cp.pt/info/documents/d/cp/precos-intercidades-lisboa-porto-braga-guimaraes-valenca,"Current 2026 AP/IC nominal OD tables and regional/urban links exist. Parse tables, classify service, and join stations before claiming actual route coverage.",southwest.json
National Express,Rail,5,DE,National Express Rail,published_partial,DACH_DTV_PRICES|DACH_DTV_DISTANCES|DACH_DTV_RULES|DACH_NRW|DACH_WESTFALEN|DACH_VRR,"Deutschlandtarif Teil J: Preisliste|Deutschlandtarif Entfernungswerk: tariff points, distances, routes, equivalences|Deutschlandtarif Teil A: scope, precedence and participating EVUs|NRW-Tarif 2026 scope, products and eezy rules|WestfalenTarif ticket prices and tariff structure|VRR 2026 price table",https://www.deutschlandtarifverbund.de/wp-content/uploads/2025/12/20251118_J_Preisliste_D-Tarif_Dez.2025.pdf|https://www.bahn.de/agb|https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf|https://infoportal.mobil.nrw/nrw-tarif/nrw-tarif-im-ueberblick.html|https://www.westfalentarif.de/tickets-abonnements/ticketpreise|https://www.vrr.de/fileadmin/user_upload/pdf/service/downloads/Weitere_Broschueren_und_Tarifinformationen/VRR_Preise_2026.pdf,"DTV participation/corpus provides a starting point; select land/local tariff by route, product and travel date. No OD coverage test yet.",dach.json
DB Regio AG Nordost,Rail,5,"DE,PL",DB,published_partial,DACH_DTV_PRICES|DACH_DTV_DISTANCES|DACH_DTV_RULES,"Deutschlandtarif Teil J: Preisliste|Deutschlandtarif Entfernungswerk: tariff points, distances, routes, equivalences|Deutschlandtarif Teil A: scope, precedence and participating EVUs",https://www.deutschlandtarifverbund.de/wp-content/uploads/2025/12/20251118_J_Preisliste_D-Tarif_Dez.2025.pdf|https://www.bahn.de/agb|https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf,"DTV participation/corpus provides a starting point; select land/local tariff by route, product and travel date. No OD coverage test yet.",dach.json
